Book title,average_rating
Extremely Loud and Incredibly Close,3.97
"Breaking Night: A Memoir of Forgiveness, Survival, and My Journey from Homeless to Harvard",4.19
"Torment (Fallen, #2)",3.89
"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",4.42
"84, Charing Cross Road",4.19
"The 8th Confession (Women's Murder Club, #8)",4.02
"Fair Game (Alpha & Omega, #3)",4.34
As You Like It,3.83
On the Night You Were Born,4.35
Alice's Adventures in Wonderland,3.99
Foundation (Foundation #1),4.13
"Rapture (Fallen, #4)",4.03
Mort: The Play,4.29
Merle's Door: Lessons from a Freethinking Dog,4.18
"The Viscount Who Loved Me (Bridgertons, #2)",4.19
A Universe from Nothing: Why There Is Something Rather Than Nothing,3.92
"Stars Above (The Lunar Chronicles, #4.5)",4.27
The List,3.95
"The Unusual Suspects (The Sisters Grimm, #2)",4.22
"The Billionaire's Obsession ~ Simon (The Billionaire's Obsession, #1)",4.0
"Saga, Vol. 2 (Saga, #2)",4.57
The Great Santini,4.13
"That Hideous Strength (Space Trilogy, #3)",3.87
1/4 جرام,4.02
Fancy Nancy,4.15
"Daughter of the Forest  (Sevenwaters, #1)",4.28
"Until Lilly (Until, #3)",4.3
Drop Shot (Myron Bolitar #2),3.92
Anne McCaffrey's Dragonflight #1,4.44
"The First Four Years  (Little House, #9)",3.88
"The Short Victorious War (Honor Harrington, #3)",4.16
The Qur'an / القرآن الكريم,4.34
"Not a Penny More, Not a Penny Less",4.0
"Charade (Games, #1)",3.98
Unaccustomed Earth,4.11
"Smaragdgrün (Edelstein-Trilogie, #3)",4.2
Moloka'i,4.15
"Raw (RAW Family, #1)",4.23
"On the Prowl (Alpha & Omega, #0.5)",4.05
"You (You, #1)",3.83
"Lost in Shangri-la: A True Story of Survival, Adventure, and the Most Incredible Rescue Mission of World War II",3.82
"Origins (The Vampire Diaries: Stefan's Diaries, #1)",4.1
House of Leaves,4.13
On Ugliness,3.88
The Secret Life of Bees,4.01
"Trickster's Queen (Daughter of the Lioness, #2)",4.28
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23
"Green: The Beginning and the End (The Circle, #0)",4.03
The Lost Boy (Dave Pelzer #2),4.08
The Best Nest,4.19
Coraline,4.03
Safe Harbour,4.04
"Who Could That Be at This Hour? (All the Wrong Questions, #1)",3.83
The Scorpio Races,4.08
Where the Sidewalk Ends,4.29
"Conversations With God: An Uncommon Dialogue, Book 2",4.1
Citizen Soldiers: The U. S. Army from the Normandy Beaches to the Bulge to the Surrender of Germany,4.19
Our Band Could Be Your Life: Scenes from the American Indie Underground 1981-1991,4.2
If on a Winter's Night a Traveler,4.08
In the Night Kitchen,4.06
The Codex,3.88
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53
Men Explain Things to Me,3.93
Pinocchio,3.86
Pinocchio,4.33
Through the Woods,3.92
"4:50 from Paddington (Miss Marple, #8)",3.92
A Redbird Christmas,3.86
The Neverending Story,4.17
If You Give a Cat a Cupcake,4.2
"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",4.12
"The Assassin and the Underworld (Throne of Glass, #0.4)",4.37
"One Second After (After, #1)",3.92
"The Killer Angels (The Civil War Trilogy, #2)",4.3
Gnomes,4.01
Trouble Is My Business,4.05
No Country for Old Men,4.12
"Beautifully Damaged (Beautifully Damaged, #1)",3.99
All You Need Is Kill,4.05
"Forest Born (The Books of Bayern, #4)",4.01
The Handmaid's Tale,4.06
"The Winter Sea (Slains, #1)",4.07
LaRose,3.86
"Storm Prey (Lucas Davenport, #20)",4.15
As You Wish: Inconceivable Tales from the Making of The Princess Bride,4.08
The Psychopath Test: A Journey Through the Madness Industry,3.91
Memoirs of a Geisha,4.08
Z: A Novel of Zelda Fitzgerald,3.82
Terms of Endearment,4.15
Better Than Before: Mastering the Habits of Our Everyday Lives,3.81
Preludes & Nocturnes (The Sandman #1),4.3
"Boundless (Unearthly, #3)",4.15
Notes of a Dirty Old Man,3.99
"Red Dragon (Hannibal Lecter, #1)",4.01
See You at the Top,4.25
"The First Man in Rome (Masters of Rome, #1)",4.08
"Wolves of the Calla (The Dark Tower, #5)",4.17
Shades of Grey,4.14
My Name is Mary Sutter,3.81
Mornings in Jenin,4.35
Under Locke,4.11
A Whole New Mind: Why Right-Brainers Will Rule the Future,3.95
"Consider Phlebas (Culture, #1)",3.85
Hope Was Here,4.0
"The Ask and the Answer (Chaos Walking, #2)",4.2
"Always You (Best Friend, #1)",3.96
"Broken Homes (Peter Grant, #4)",4.16
The Gruffalo,4.47
A Briefer History of Time,4.19
"Mine Till Midnight (The Hathaways, #1)",4.08
Three Weeks With My Brother,4.01
"A King's Ransom (The 39 Clues: Cahills vs. Vespers, #2)",4.14
Choosing to SEE,4.3
Thank You for Smoking,3.92
"Artemis Fowl (Artemis Fowl, #1)",3.82
What She Knew,3.89
Twelve Years a Slave,4.15
"The Last Wish (The Witcher, #1)",4.2
"In Bed with a Highlander (McCabe Trilogy, #1)",4.05
美少女戦士セーラームーン新装版 1 [Bishōjo Senshi Sailor Moon Shinsōban 1],4.28
Still Alice,4.3
The Hand of Oberon (The Chronicles of Amber #4),4.19
Harry Potter Page to Screen: The Complete Filmmaking Journey,4.56
The Virgin Suicides,3.83
The Cricket in Times Square,4.01
The Guernsey Literary and Potato Peel Pie Society,4.12
Inside the O'Briens,3.98
"Destroy Me (Shatter Me, #1.5)",4.27
Don't Let's Go to the Dogs Tonight,3.96
The 22 Immutable Laws of Marketing: Violate Them at Your Own Risk,4.02
The Peacegiver: How Christ Offers to Heal Our Hearts and Homes,4.41
Travesuras de la niña mala,4.04
Mufaro's Beautiful Daughters: An African Tale,4.32
"Angels' Blood (Guild Hunter, #1)",4.12
This is Where I Leave You,3.88
The One Minute Manager,3.85
"Onyx (Lux, #2)",4.33
"The Eternity Cure (Blood of Eden, #2)",4.26
"Epilogue (The Dark Duet, #3)",4.29
هيبتا,3.82
All My Puny Sorrows,3.93
"The Mad Ship (Liveship Traders, #2)",4.21
"The Survivor (Mitch Rapp, #14)",4.2
"A Darker Shade of Magic (Shades of Magic, #1)",4.07
"Return to Paradise (Leaving Paradise, #2)",4.05
"Hidden Bodies (You, #2)",3.87
Moonwalking with Einstein: The Art and Science of Remembering Everything,3.85
"Ms. Marvel, Vol. 1: No Normal",4.13
"Emily Climbs (Emily, #2)",4.14
Caleb's Crossing,3.81
"The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy (The Penderwicks #1)",4.12
"Succubus on Top (Georgina Kincaid, #2)",4.07
"All Fall Down (Embassy Row, #1)",3.82
Mike Mulligan and His Steam Shovel,4.2
"The Iron Queen (The Iron Fey, #3)",4.24
Winter Solstice,4.15
"Postmortem (Kay Scarpetta, #1)",4.01
"Finding Me: A Decade of Darkness, a Life Reclaimed - A Memoir of the Cleveland Kidnappings",4.12
How We Decide,3.81
The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,4.18
Naïve. Super,3.89
"Kiss of the Highlander (Highlander, #4)",4.31
Zen of Seeing: Seeing/Drawing as Meditation,3.92
Euphoria,3.84
Assassination Vacation,3.98
The Time Keeper,3.85
"Ironside (Modern Faerie Tales, #3)",4.04
A Countess Below Stairs,3.88
Stone Soup,4.23
Stone Soup,4.28
Stone Soup,4.15
"Feast of Fools (The Morganville Vampires, #4)",4.17
"Journal 64 (Afdeling Q, #4)",4.04
الرحيق المختوم,4.57
Alive: The Story of the Andes Survivors,4.08
"Honeymoon (Honeymoon, #1)",3.81
The Story of Art,3.83
"Shadowfever (Fever, #5)",4.46
2BR02B,3.93
"Captive Prince (Captive Prince, #1)",3.98
The Complete Tales,4.36
Cathedral,4.3
"The Lost World (Professor Challenger, #1)",3.92
Where Men Win Glory: The Odyssey of Pat Tillman,4.03
The Death of Ivan Ilych,4.04
"When We Were Very Young (Winnie-the-Pooh, #3)",4.32
"The Lost Prince (The Iron Fey: Call of the Forgotten, #1)",4.05
"Blue Shoes and Happiness (No. 1 Ladies' Detective Agency, #7)",4.06
"Germinal (Les Rougon-Macquart, #13)",4.09
Fish: A Proven Way to Boost Morale and Improve Results,3.92
"Dead Until Dark (Sookie Stackhouse, #1)",3.96
"Wild Magic (Immortals, #1)",4.32
Mockingbird,4.18
A Land More Kind Than Home,3.84
"Grave Surprise (Harper Connelly, #2)",3.88
"My Soul to Take (Soul Screamers, #1)",3.88
Confessions of an Economic Hit Man,3.83
It Starts with Food: Discover the Whole30 and Change Your Life in Unexpected Ways,4.09
"Left Drowning (Left Drowning, #1)",4.14
"The Dark Is Rising (The Dark is Rising, #2)",4.07
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98
"Easy (Contours of the Heart, #1)",4.11
"Vampire Knight, Vol. 9",4.31
"Lover Unleashed (Black Dagger Brotherhood, #9)",4.28
"The Eternity Code (Artemis Fowl, #3)",4.04
"Across the Nightingale Floor (Tales of the Otori, #1)",4.06
"Timeless (Parasol Protectorate, #5)",4.12
"Come Away with Me (With Me in Seattle, #1)",3.94
"This Present Darkness (Darkness, #1)",4.24
"The Rise of Endymion (Hyperion Cantos, #4)",4.16
"Doomsday Book (Oxford Time Travel, #1)",4.03
"Unspoken (The Lynburn Legacy, #1)",3.85
Rules,3.96
"Perdido Street Station (Bas-Lag, #1)",3.96
The Complete Works of H.P. Lovecraft,4.34
"Sweet Dreams (Colorado Mountain, #2)",4.42
Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,3.95
"Dumplin' (Dumplin', #1)",3.87
"Wool (Wool, #1)",4.12
"Almost Heaven (Sequels, #3)",4.33
Amy & Roger's Epic Detour,4.05
Fine Things,3.92
"One Shot (Jack Reacher, #9)",4.2
The Chrysalids,3.92
Redemption Ark,4.13
"Fifty Shades Darker (Fifty Shades, #2)",3.87
The Shadowhunter's Codex,4.06
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",4.29
"More Than This (More Than, #1)",4.15
Summer of Night,4.0
Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,4.61
The Faraway Tree Stories (The Faraway Tree #1-3),4.28
Why We Get Fat: And What to Do About It,4.04
"First Rider's Call (Green Rider, #2)",4.2
"The Eye of the World (Wheel of Time, #1)",4.18
The Call of Cthulhu,4.05
"Oh, The Places You'll Go!",4.34
The Poetry of Pablo Neruda,4.44
"Police (Harry Hole, #10)",4.22
The Last Time We Say Goodbye,4.11
"The Raven King (The Raven Cycle, #4)",4.32
Bone Gap,3.86
"Burn (Breathless, #3)",4.01
All Around the Town,3.94
"The Mysterious Benedict Society and the Prisoner's Dilemma (The Mysterious Benedict Society, #3)",4.28
Can't Wait to Get to Heaven,3.89
"Raid (Unfinished Hero, #3)",4.23
Good to Great: Why Some Companies Make the Leap... and Others Don't,4.04
"The Merchant of Death (Pendragon, #1)",3.93
"Vengeance in Death (In Death, #6)",4.34
"Step on a Crack (Michael Bennett, #1)",4.0
Take Me with You,4.12
"Play with Me (With Me in Seattle, #3)",4.33
Snow Crash,4.02
All My Sons,3.87
The Blue Bistro,4.0
The Accidental Tourist,3.9
"Her Final Breath (Tracy Crosswhite, #2)",4.27
"The Surgeon (Rizzoli & Isles, #1)",4.1
"Skin Trade (Anita Blake, Vampire Hunter #17)",3.9
"Simple Genius (Sean King & Michelle Maxwell, #3)",3.89
The True Story of the 3 Little Pigs,4.29
The Feast of All Saints,3.83
Love & Misadventure,4.05
Prom and Prejudice,3.82
"Alice in the Country of Hearts, Vol. 01 (Alice in the Country of Hearts, #1)",4.21
Batman: Year One,4.23
"Feed (Newsflesh Trilogy, #1)",3.86
"Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1)",3.92
Blue Smoke,3.97
"Fables, Vol. 9: Sons of Empire",4.24
The Electric Kool-Aid Acid Test,3.92
Yertle the Turtle and Other Stories,4.13
Nine Parts of Desire: The Hidden World of Islamic Women,4.04
Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,4.0
The Well of Lost Plots (Thursday Next #3),4.09
"Every Dead Thing (Charlie Parker, #1)",4.01
The Temporal Void,4.24
Twenty Thousand Leagues Under the Sea,3.86
"Thirst No. 2: Phantom, Evil Thirst, and Creatures of Forever (Thirst, #2)",4.06
Where the Mountain Meets the Moon,4.24
La tregua,4.19
Marley and Me: Life and Love With the World's Worst Dog,4.12
"Maybe Someday (Maybe, #1)",4.33
Ultramarathon Man: Confessions of an All-Night Runner,3.94
The Club Dumas,3.82
Go Tell It on the Mountain,4.0
"Tricked (The Iron Druid Chronicles, #4)",4.25
"Driven (Driven, #1)",4.31
"The 101 Dalmatians (The Hundred and One Dalmatians, #1)",4.11
"The Underworld (Fallen Star, #2)",4.12
"Dead Witch Walking (The Hollows, #1)",4.04
Private Games (Private #3),3.83
"The End (A Series of Unfortunate Events, #13)",3.99
The Phantom of the Opera,3.97
Montana Sky,4.07
"Hellboy, Vol. 2: Wake the Devil (Hellboy, #2)",4.2
"To Tame a Highland Warrior (Highlander, #2)",4.14
Anatomy for the Artist,3.97
Anatomy for the Artist,3.97
The Paradox of Choice: Why More Is Less,3.84
The Cobra Event,4.0
Metaphysics,4.0
High Fidelity,3.94
"The Twelve (The Passage, #2)",3.98
"Jealousy (Strange Angels, #3)",4.15
"Forrest Gump (Forrest Gump, #1)",4.06
"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History",4.05
"In the Clearing (Tracy Crosswhite, #3)",4.25
Hold Still,3.99
"Blood of the Fold (Sword of Truth, #3)",3.98
Our Souls at Night,3.96
Winter's Bone,3.92
"Locke & Key, Vol. 1: Welcome to Lovecraft",4.18
The Magic Strings of Frankie Presto,4.32
"Brian's Winter (Brian's Saga, #3)",3.98
"Whispers at Moonrise (Shadow Falls, #4)",4.38
Tractatus Logico-Philosophicus,4.06
"Dinosaurs Before Dark (Magic Tree House, #1)",3.87
"Anybody Out There? (Walsh Family, #4)",3.91
The Gemini Contenders,3.87
"The Indigo Spell (Bloodlines, #3)",4.41
The Gift of Fear: Survival Signals That Protect Us from Violence,4.19
"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",4.11
"Darkness, Be My Friend (Tomorrow, #4)",4.11
"The 5th Wave (The 5th Wave, #1)",4.1
"The Monstrumologist (The Monstrumologist, #1)",3.89
The Jesus I Never Knew,4.18
Looking for Alibrandi,3.85
Revelation Space,3.97
"The One (The Selection, #3)",4.21
"Key of Valor (Key Trilogy, #3)",4.1
"The Faceless Ones (Skulduggery Pleasant, #3)",4.4
"Venom (Elemental Assassin, #3)",4.16
Ella Minnow Pea: A Novel in Letters,3.84
"Burn (Michael Bennett, #7)",3.88
The Round House,3.91
"Percy Jackson and the Olympians Boxed Set (Percy Jackson and the Olympians, #1-5)",4.57
The Bazaar of Bad Dreams,3.92
A Mother's Reckoning: Living in the Aftermath of Tragedy,4.13
"These High, Green Hills (Mitford Years, #3)",4.27
"Fables, Vol. 4: March of the Wooden Soldiers",4.29
Systematic Theology: An Introduction to Biblical Doctrine,4.23
Left to Tell: Discovering God Amidst the Rwandan Holocaust,4.43
"Claimed By Shadow (Cassandra Palmer, #2)",3.98
The Diving Bell and the Butterfly,4.01
Black Boy,4.02
"Panserhjerte (Harry Hole, #8)",4.08
"Obsidian (Lux, #1)",4.23
"Of Poseidon (The Syrena Legacy, #1)",4.04
The Great Dune Trilogy  ,4.35
The Rape of Nanking,4.08
Sycamore Row,3.98
"Silverthorn (The Riftwar Saga, #3)",4.06
"Curtsies & Conspiracies (Finishing School, #2)",4.11
"Magic Slays (Kate Daniels, #5)",4.43
Megan Meade's Guide to the McGowan Boys,3.93
Azincourt,4.11
"A Darkness At Sethanon (The Riftwar Saga, #4)",4.17
Killing Pablo: The Hunt for the World's Greatest Outlaw,3.93
The Story of Babar,4.07
Promise Me (Myron Bolitar #8),3.96
"Sin City, Vol. 4: That Yellow Bastard (Sin City, #4)",4.22
"The White Princess (The Plantagenet and Tudor Novels, #5)",3.85
"The Emperor's Code (The 39 Clues, #8)",4.04
"Cross My Heart (Alex Cross, #21)",4.03
"King of the Murgos (The Malloreon, #2)",4.1
Pedagogy of the Oppressed,4.25
The Narrow Road to the Deep North,4.0
The Passion of Artemisia,3.86
"The One Tree (The Second Chronicles of Thomas Covenant, #2)",3.96
Asterios Polyp,4.19
Owl Moon,4.2
"Freak the Mighty (Freak The Mighty, #1)",3.98
Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,4.26
The Executioner's Song,4.07
The Raw Shark Texts,3.87
What Alice Forgot,4.05
"Rough Country (Virgil Flowers, #3)",4.15
"The Boy Next Door (Boy, #1)",3.83
The Matchmaker,3.82
"Misbehaving (Sea Breeze, #6)",4.18
Master and Commander,4.1
"Dragon Bound (Elder Races, #1)",4.13
Kira-Kira,3.9
Chicken Soup for the Soul,3.94
"Dauntless (The Lost Fleet, #1)",3.93
No One Belongs Here More Than You,3.81
"Pillar of Light (The Work and the Glory, #1)",4.28
"Honor Among Enemies (Honor Harrington, #6)",4.24
Pride of Baghdad,3.88
Not My Father's Son,4.0
The Trial,3.98
"Absalom, Absalom!",3.96
The Lathe of Heaven,4.09
Embroideries,3.82
"Captivated by You (Crossfire, #4)",4.06
Who's Afraid of Virginia Woolf?,4.09
"Tales of the City (Tales of the City, #1)",4.06
"Blood Song (Raven's Shadow, #1)",4.47
The Decline and Fall of the Roman Empire,3.96
"Ship of Magic (Liveship Traders, #1)",4.12
"Ten Tiny Breaths (Ten Tiny Breaths, #1)",4.16
"A Christmas Carol, The Chimes and The Cricket on the Hearth",4.11
Looking for Alaska,4.09
الطنطورية,4.32
"Touch & Go (Tessa Leoni, #2)",4.05
Nine Princes in Amber (The Chronicles of Amber #1),4.1
"The Call of the Wild, White Fang and Other Stories",3.97
"Poirot Investiga (Hércules Poirot, #3)",4.07
Wall and Piece,3.83
The Egg,4.13
"Twilight and Philosophy: Vampires, Vegetarians, and the Pursuit of Immortality",4.39
Live from New York: An Uncensored History of Saturday Night Live,4.04
The Summer Tree (The Fionavar Tapestry #1),3.99
"A Crown of Swords (Wheel of Time, #7)",4.0
"Crown of Midnight (Throne of Glass, #2)",4.49
Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,3.87
Save the Date,3.87
True Evil,4.05
"The Blade Itself (The First Law, #1)",4.14
"River of Blue Fire (Otherland, #2)",4.0
The Rum Diary,3.83
"The Royal Ranger (Ranger's Apprentice, #12)",4.4
"Bad Luck and Trouble (Jack Reacher, #11)",4.17
The Temple of My Familiar,4.05
The Man in the Brown Suit,3.97
"The Neon Rain (Dave Robicheaux, #1)",3.98
Silent Prey (Lucas Davenport #4),4.13
"The Remaining (The Remaining, #1)",4.08
Not a Fan: Becoming a Completely Committed Follower of Jesus,4.23
"Damaged (Damaged, #1)",3.93
"Zero History (Blue Ant, #3)",3.93
"Academ's Fury (Codex Alera, #2)",4.27
"Swallowing Darkness (Merry Gentry, #7)",4.13
"Ashes to Ashes (Kovac and Liska, #1)",4.03
Bridge to Terabithia,3.98
"Leviathan (Leviathan, #1)",3.91
The Swerve: How the World Became Modern,3.83
The Big Short: Inside the Doomsday Machine,4.26
The Mixed-Up Chameleon,4.21
Modern Romance,3.85
Fangirl,4.12
"Scott Pilgrim, Volume 4: Scott Pilgrim Gets It Together",4.32
"UnSouled (Unwind, #3)",4.23
The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,3.81
"Wolf Hall (Thomas Cromwell, #1)",3.85
"Sweet Surrender (Sweet, #1)",3.99
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,3.99
"The Fires of Heaven (Wheel of Time, #5)",4.13
The Haunting of Hill House,3.89
"Mind Prey (Lucas Davenport, #7)",4.19
The Darkest Whisper (Lords of the Underworld #4),4.33
More Than This,4.03
A Canticle for Leibowitz,3.97
Batman: Hush,4.29
Copper Sun,4.3
Percy Jackson's Greek Gods (A Percy Jackson and the Olympians Guide),4.51
The Kind Worth Killing,4.03
Radical: Taking Back Your Faith from the American Dream,4.18
"Eternal Kiss of Darkness (Night Huntress World, #2)",4.21
The Lover's Dictionary,3.89
Can't We Talk about Something More Pleasant?,4.1
Turning Angel,4.11
The House We Grew Up In,3.88
Far from the Madding Crowd,3.92
Cannery Row,4.02
The Waves,4.14
The Amityville Horror,3.82
Silence of the Grave (Inspector Erlendur #4),3.94
Sex God: Exploring the Endless Connections between Sexuality and Spirituality,3.82
"Once (Eve, #2)",3.9
The Runaway Jury,3.96
"Ten Big Ones (Stephanie Plum, #10)",4.13
Babar the King,4.18
Carter Beats the Devil,4.09
"Blue Lily, Lily Blue (The Raven Cycle, #3)",4.32
Harriet the Spy (Harriet the Spy #1),3.96
The Pilgrim's Progress,3.98
The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,4.04
"Queen of the Darkness (The Black Jewels, #3)",4.37
Deep Fathom,4.07
The Power of Myth,4.3
The Kreutzer Sonata,3.9
"Scorpia (Alex Rider, #5)",4.16
Worlds' End (The Sandman #8),4.48
"First, Break All the Rules: What the World's Greatest Managers Do Differently",3.92
Columbine,4.26
"The Immortals Boxed Set (The Immortals, #1-3)",4.28
Your Inner Fish: A Journey into the 3.5-Billion-Year History of the Human Body,3.97
"Fight with Me (With Me in Seattle, #2)",4.25
The Emperor of All Maladies: A Biography of Cancer,4.29
"Ancillary Sword (Imperial Radch, #2)",4.03
"The Foundation Trilogy (Foundation, #1-3)",4.39
"Succubus Shadows (Georgina Kincaid, #5)",4.18
"Legion (Legion, #1)",4.13
The Te of Piglet,3.81
"Dream a Little Dream (Chicago Stars, #4)",4.18
Eleanor of Aquitaine: A Life ,3.97
"Conquer Your Love (Surrender Your Love, #2)",4.01
The Feast of the Goat,4.22
Yes Please,3.81
East of Eden,4.35
Scoring Wilder,4.1
The Language of Flowers,4.07
The Sea of Tranquility,4.34
"All In (The Blackstone Affair, #2)",4.11
The Seagull,3.92
A Game of You (The Sandman #5),4.43
The Matlock Paper,3.86
"Spin (Spin, #1)",4.01
"Beyond Reach (Grant County, #6)",4.19
"Stormy, Misty's Foal (Misty, #3)",4.06
"Vicious (Villains, #1)",4.25
Every Soul a Star,4.1
The One and Only Ivan,4.24
"Faefever (Fever, #3)",4.34
"House of Chains (The Malazan Book of the Fallen, #4)",4.32
The Doll's House (The Sandman #2),4.44
"If Tomorrow Comes (Tracy Whitney Series, #1)",4.01
"Ninth Key (The Mediator, #2)",4.07
The Lord of the Rings: The Art of The Fellowship of the Ring,4.59
The Lord of the Rings: Weapons and Warfare,4.53
"Mine (Real, #2)",4.29
"The Deep End of the Ocean (Cappadora Family, #1)",3.84
"Champion (Legend, #3)",4.37
"Act of Treason (Mitch Rapp, #9)",4.28
The Sunne in Splendour,4.4
تراب الماس,4.09
The Jungle Book,3.94
Lust for Life,4.19
The Thing Around Your Neck,4.18
Secrets of the Vine: Breaking Through to Abundance,4.13
"Night Star (The Immortals, #5)",3.82
Full Moon Rising (Riley Jenson Guardian #1),3.89
QED: The Strange Theory of Light and Matter,4.23
"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",4.12
"Not Quite Dating (Not Quite, #1)",3.88
Sin Undone (Demonica #5),4.35
Contagious: Why Things Catch On,3.88
Man and His Symbols,4.18
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,4.2
The Island,3.88
The Island,3.99
The Fall of the House of Usher,3.92
"Tales from a Not-So-Fabulous Life (Dork Diaries, #1)",4.16
"Buffy the Vampire Slayer: The Long Way Home (Season 8, #1)",3.96
"The Bellmaker (Redwall, #7)",3.95
The Dead Zone,3.9
Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher,4.19
"Veil of Midnight (Midnight Breed, #5)",4.26
"Stenhuggaren (Patrik Hedström, #3)",3.85
Curious George Goes to the Hospital,4.22
The Aviator's Wife,3.87
"Empire of the Sun (Empire of the Sun, #1)",3.98
Batman: The Black Mirror,4.29
The Beatles: The Biography,4.13
The Promise,3.93
House Rules,4.01
"Tears of a Tiger (Hazelwood High, #1)",4.16
"A Week to Be Wicked (Spindle Cove, #2)",4.12
Be Here Now,4.27
Switch: How to Change Things When Change Is Hard,4.02
My Name Is Asher Lev,4.19
Democracy in America ,3.99
Lies Women Believe: And the Truth that Sets Them Free,4.1
"Black Bird, Vol. 01 (Black Bird, #1)",4.08
"First Family (Sean King & Michelle Maxwell, #4)",3.98
A Bridge Too Far,4.24
The Smitten Kitchen Cookbook,4.14
A Walk to Remember,4.15
"Mattimeo (Redwall, #3)",4.02
Book of a Thousand Days,3.95
The Hundred Secret Senses,3.98
"Darkest Hour (The Mediator, #4)",4.16
The English Patient,3.88
"The Gentlemen's Alliance †, Vol. 1",3.96
A Room with a View,3.91
Tell No One,4.11
The Collected Poems of W.B. Yeats,4.25
With the Old Breed: At Peleliu and Okinawa,4.4
"G is for Gumshoe (Kinsey Millhone, #7)",3.9
